,Enrolled
4635-07,58
24387-07,30
3366-07,8
13177-07,10
3365-07,31
4601-07,46
2697-07,110
13661-07,34
4323-07,42
19466-07,27
860-07,148
5002-07,43
13816-07,321
6446-07,28
4986-07,106
2941-07,171
3272-07,282
5956-07,4
14822-07,9
11668-07,230
1614-07,158
3205-07,189
5022-07,25
19476-07,24
7534-07,1
14808-07,6
2861-07,2
15773-07,34
2851-07,8
11508-07,237
3444-07,180
9208-07,16
8832-07,13
9116-07,241
1862-07,194
26475-07,63
4665-07,8
24323-07,172
18580-07,76
10258-07,298
5044-07,17
11217-07,19
12778-07,237
5005-07,5
7533-07,7
7827-07,226
3212-07,387
3849-07,13
11487-07,20
12698-07,189
11978-07,90
5493-07,11
13175-07,109
6485-07,25
2867-07,1
5840-07,35
10498-07,13
12158-07,3
5916-07,18
1745-07,9
10398-07,316
3369-07,21
22576-07,52
3364-07,5
367-07,33
18660-07,676
14346-07,128
272-07,318
12026-07,21
3958-07,278
5065-07,179
6393-07,38
2433-07,6
1915-07,25
12079-07,225
5279-07,26
2381-07,148
584-07,204
6052-07,6
12357-07,5
3871-07,67
15540-07,320
16279-07,34
1767-07,52
6565-07,37
6955-07,2
2352-07,348
2549-07,37
6979-07,6
7887-07,263
2864-07,32
26041-07,17
18423-07,150
2166-07,226
2852-07,1
5270-07,48
3753-07,11
1366-07,97
1994-07,72
1117-07,15
13720-07,3
579-07,142
376-07,10
935-07,21
9002-07,11
13877-07,37
1242-07,36
1475-07,63
152-07,35
9170-07,191
2191-07,69
13878-07,110
24527-07,172
2693-07,41
2906-07,50
6958-07,16
8054-07,263
863-07,50
24879-07,452
1760-07,10
6954-07,124
9973-07,3
2182-07,65
11792-07,27
4671-07,24
9970-07,1
4637-07,20
1705-07,124
10446-07,15
8707-07,263
16961-07,39
1927-07,77
7639-07,176
14424-07,33
2912-07,102
22368-07,43
12334-07,43
1367-07,148
862-07,277
6205-07,16
1937-07,22
2440-07,42
2863-07,47
3304-07,194
823-07,209
4577-07,184
20079-07,85
2183-07,21
4751-07,8
14485-07,1
11718-07,11
14612-07,29
17895-07,221
4076-07,13
3358-07,2
10980-07,20
12718-07,4
9209-07,8
12342-07,30
1694-07,194
3371-07,44
98-07,299
14668-07,13
23763-07,95
11500-07,305
11040-07,1
25371-07,151
5100-07,40
5275-07,5
13337-07,15
2355-07,227
409-07,73
10518-07,16
3544-07,184
705-07,64
18393-07,44
26502-07,222
934-07,37
2853-07,1
11697-07,16
11895-07,27
17248-07,6
13557-07,5
17290-07,29
1766-07,10
24817-07,70
5492-07,56
697-07,44
3739-07,40
525-07,17
10648-07,17
2858-07,26
22654-07,24
614-07,172
10178-07,2
323-07,27
4777-07,71
19135-07,40
1917-07,26
9717-07,11
16986-07,187
4358-07,2
2414-07,51
6456-07,106
9678-07,1
13814-07,9
2488-07,14
1577-07,161
15546-07,22
1172-07,17
11965-07,126
8826-07,51
16741-07,6
12372-07,102
154-07,18
696-07,23
574-07,131
17599-07,9
3378-07,17
6251-07,293
1453-07,33
6784-07,124
2659-07,22
24276-07,222
9518-07,29
18947-07,41
13648-07,321
20480-07,95
1758-07,41
2502-07,369
3635-07,85
11401-07,83
19004-07,131
6493-07,181
8649-07,226
8593-07,169
2809-07,319
15160-07,225
16314-07,321
5267-07,23
19435-07,19
4579-07,408
11857-07,21
16592-07,162
5971-07,22
19950-07,236
23787-07,281
7604-07,61
1923-07,24
3102-07,63
9073-07,20
17148-07,206
5620-07,247
5785-07,30
360-07,42
2862-07,1
24279-07,222
3303-07,194
23937-07,332
11888-07,217
6801-07,6
18932-07,16
17501-07,16
24105-07,23
9122-07,227
9147-07,1
1368-07,277
22243-07,7
230-07,129
1755-07,31
3837-07,90
2595-07,28
3545-07,245
25479-07,222
2409-07,71
3305-07,194
19519-07,9
12814-07,11
14038-07,13
14437-07,277
2674-07,318
5407-07,124
24865-07,139
3776-07,5
3360-07,5
14575-07,66
9968-07,3
1203-07,32
1863-07,194
8892-07,19
16059-07,18
2553-07,336
4220-07,189
1795-07,156
2422-07,41
3880-07,41
859-07,48
12580-07,51
4067-07,554
2854-07,142
8056-07,263
10908-07,24
24905-07,22
11983-07,5
10180-07,51
1442-07,19
5035-07,53
2364-07,28
2860-07,10
5791-07,22
2255-07,474
1926-07,12
2112-07,157
12543-07,3
7192-07,3
3359-07,43
16742-07,2
9560-07,4
1936-07,33
2382-07,277
11674-07,49
1748-07,11
1925-07,10
640-07,671
4148-07,52
2061-07,645
23900-07,20
4250-07,43
2550-07,148
18695-07,141
18134-07,2
15143-07,246
3884-07,110
1771-07,39
11589-07,18
5317-07,32
1692-07,194
2872-07,13
3742-07,358
10511-07,5
3368-07,38
6018-07,179
743-07,91
3629-07,52
3696-07,153
6998-07,6
4241-07,16
1024-07,99
10489-07,1
3113-07,40
5383-07,78
4460-07,3
10796-07,5
1924-07,26
3373-07,9
3946-07,40
5618-07,32
2126-07,9
2608-07,22
1708-07,267
159-07,18
19034-07,2
15119-07,19
2268-07,422
313-07,110
5975-07,9
6620-07,8
3072-07,233
6421-07,29
2181-07,452
685-07,148
8998-07,5
1440-07,24
13459-07,30
26220-07,224
22279-07,23
4230-07,8
7551-07,146
8233-07,176
16726-07,10
4068-07,554
825-07,577
17493-07,8
6962-07,12
5743-07,121
1916-07,2
3221-07,156
24831-07,172
6507-07,84
12708-07,33
23576-07,49
2444-07,74
471-07,671
6978-07,277
1441-07,15
7771-07,276
18308-07,29
16344-07,1
10464-07,11
18433-07,10
14812-07,6
7518-07,14
4235-07,18
639-07,656
12505-07,102
13882-07,277
2871-07,15
5773-07,358
6369-07,32
2470-07,164
9212-07,135
4765-07,20
10799-07,1
4236-07,8
26052-07,224
995-07,33
858-07,68
2613-07,74
6953-07,121
13204-07,17
1756-07,35
6993-07,85
5087-07,41
13651-07,1
219-07,22
6815-07,38
590-07,210
1271-07,92
5517-07,13
7645-07,135
15182-07,11
9529-07,222
10800-07,1
13161-07,80
2475-07,189
3355-07,45
26100-07,32
246-07,35
12022-07,592
11307-07,1
3632-07,5
14682-07,39
12823-07,80
4984-07,318
17233-07,10
2489-07,20
3817-07,31
11820-07,17
3951-07,35
16987-07,321
2798-07,194
5571-07,179
19260-07,160
16450-07,123
18310-07,234
15949-07,27
4573-07,554
4622-07,16
1856-07,108
13791-07,144
5512-07,9
581-07,227
597-07,19
12040-07,10
13027-07,41
2380-07,97
5136-07,22
10594-07,191
7886-07,263
11186-07,11
9210-07,5
9709-07,176
1365-07,32
14849-07,2
17085-07,5
12120-07,169
21026-07,14
3375-07,1
8684-07,16
529-07,4
6341-07,19
2568-07,205
1418-07,166
9631-07,82
1747-07,12
4754-07,42
2868-07,5
5024-07,11
7997-07,226
8833-07,37
